"X.U.FEFF.Comment","text_tokens","V3"
"Y la Universidad de El Salvador"," ","y el universidad de el salvador"
"Un estado de cuenta quiero"," ","uno estar de contar querer"
"Necesito mi estado de cuenta, lo solicite hace una semana y no llega"," ","necesitar mi estar de contar , el solicitar hacer unir semana y no llegar"
"<U+0001D442><U+0001D459><U+0001D44E> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> 45 <U+0001D44E>ñ<U+0001D45C><U+0001D460> <U+0001D45D><U+0001D462><U+0001D452><U+0001D451><U+0001D45C> <U+0001D45F><U+0001D452><U+0001D461><U+0001D456><U+0001D45F><U+0001D44E><U+0001D45F> <U+0001D452><U+0001D460><U+0001D452> 25% <U+0001D451><U+0001D452> <U+0001D45A><U+0001D456> <U+0001D450><U+0001D462><U+0001D452><U+0001D45B><U+0001D461><U+0001D44E>? <U+0001D436><U+0001D45C><U+0001D45B><U+0001D461><U+0001D452><U+0001D460><U+0001D461><U+0001D452><U+0001D45B><U+0001D45A><U+0001D452> <U+0001D45D><U+0001D45C><U+0001D45F> <U+0001D453><U+0001D44E><U+0001D463><U+0001D45C><U+0001D45F> <U+0001D466> <U+0001D45E><U+0001D462><U+0001D452> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> <U+0001D464><U+0001D462><U+0001D452> h<U+0001D44E><U+0001D450><U+0001D452><U+0001D45F>. <U+0001D434><U+0001D439><U+0001D443> <U+0001D436><U+0001D442><U+0001D441><U+0001D439><U+0001D43C><U+0001D434>"," ","<U+0001D442><U+0001D459><U+0001D44E> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> 45 <U+0001D44E>ñ<U+0001D45C><U+0001D460> <U+0001D45D><U+0001D462><U+0001D452><U+0001D451><U+0001D45C> <U+0001D45F><U+0001D452><U+0001D461><U+0001D456><U+0001D45F><U+0001D44E><U+0001D45F> <U+0001D452><U+0001D460><U+0001D452> 25 % <U+0001D451><U+0001D452> <U+0001D45A><U+0001D456> <U+0001D450><U+0001D462><U+0001D452><U+0001D45B><U+0001D461><U+0001D44E> ? <U+0001D436><U+0001D45C><U+0001D45B><U+0001D461><U+0001D452><U+0001D460><U+0001D461><U+0001D452><U+0001D45B><U+0001D45A><U+0001D452> <U+0001D45D><U+0001D45C><U+0001D45F> <U+0001D453><U+0001D44E><U+0001D463><U+0001D45C><U+0001D45F> <U+0001D466> <U+0001D45E><U+0001D462><U+0001D452> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> <U+0001D464><U+0001D462><U+0001D452> h<U+0001D44E><U+0001D450><U+0001D452><U+0001D45F> . <U+0001D434><U+0001D439><U+0001D443> <U+0001D436><U+0001D442><U+0001D441><U+0001D439><U+0001D43C><U+0001D434>"
" Como hago para retirar mi anticipo, cuales son los requicitos"," ","comer hacer parar retirar mi anticipar , cual ser el requicitos"
"Buenas noches quisiera saber si puedo hacer un anticipo"," ","bueno noche querer saber si poder hacer uno anticipar"
"Que necesito para obtener un anticipo"," ","que necesitar parar obtener uno anticipar"
"Necesito información dela gestión de anticipo del 25 por ciento ya la hice quiero saber cómo va el trámite"," ","necesitar información dela gestión de anticipar del 25 por ciento ya el hacer querer saber cómo ir el trámite"
"hola quisiera saber si puedo hacer el tramite para un anticipo"," ","hola querer saber si poder hacer el tramitar parar uno anticipar"
"Con cuantos años puedo retirar un porsentaje"," ","con cuanto año poder retirar uno porsentaje"
